"order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","_sdc_extracted_at","_sdc_received_at","_sdc_batched_at","_sdc_deleted_at","_sdc_sequence","_sdc_table_version","_sdc_sync_started_at","order_id-2","product_id","unit_price","quantity","discount","_sdc_extracted_at-2","_sdc_received_at-2","_sdc_batched_at-2","_sdc_deleted_at-2","_sdc_sequence-2","_sdc_table_version-2","_sdc_sync_started_at-2"
"10267","FRANK","4","1996-07-29","1996-08-26","1996-08-06","1","208.58","Frankenversand","Berliner Platz 43","München","","80805","Germany","2025-01-28 21:00:21.983808","2025-01-28 21:00:22.884618","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10267","40","14.7","50","0","2025-01-28 21:00:22.080122","2025-01-28 21:00:23.124799","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10267","FRANK","4","1996-07-29","1996-08-26","1996-08-06","1","208.58","Frankenversand","Berliner Platz 43","München","","80805","Germany","2025-01-28 21:00:21.983808","2025-01-28 21:00:22.884618","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10267","59","44","70","0.15","2025-01-28 21:00:22.080206","2025-01-28 21:00:23.124911","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10267","FRANK","4","1996-07-29","1996-08-26","1996-08-06","1","208.58","Frankenversand","Berliner Platz 43","München","","80805","Germany","2025-01-28 21:00:21.983808","2025-01-28 21:00:22.884618","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10267","76","14.4","15","0.15","2025-01-28 21:00:22.080289","2025-01-28 21:00:23.125022","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10268","GROSR","8","1996-07-30","1996-08-27","1996-08-02","3","66.29","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","2025-01-28 21:00:21.983915","2025-01-28 21:00:22.884789","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10268","29","99","10","0","2025-01-28 21:00:22.080372","2025-01-28 21:00:23.125137","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10268","GROSR","8","1996-07-30","1996-08-27","1996-08-02","3","66.29","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","2025-01-28 21:00:21.983915","2025-01-28 21:00:22.884789","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10268","72","27.8","4","0","2025-01-28 21:00:22.080454","2025-01-28 21:00:23.12525","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10269","WHITC","5","1996-07-31","1996-08-14","1996-08-09","1","4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","2025-01-28 21:00:21.984047","2025-01-28 21:00:22.884959","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10269","33","2","60","0.05","2025-01-28 21:00:22.080533","2025-01-28 21:00:23.125361","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10269","WHITC","5","1996-07-31","1996-08-14","1996-08-09","1","4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","2025-01-28 21:00:21.984047","2025-01-28 21:00:22.884959","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10269","72","27.8","20","0.05","2025-01-28 21:00:22.080614","2025-01-28 21:00:23.125686","2025-01-28 21:00:23.115917",NULL,"1738098023126",NULL,"1738098022345"
"10270","WARTH","1","1996-08-01","1996-08-29","1996-08-02","1","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland","2025-01-28 21:00:21.984167","2025-01-28 21:00:22.885239","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10270","36","15.2","30","0","2025-01-28 21:00:22.080697","2025-01-28 21:00:23.126069","2025-01-28 21:00:23.115917",NULL,"1738098023126",NULL,"1738098022345"
"10270","WARTH","1","1996-08-01","1996-08-29","1996-08-02","1","136.54","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland","2025-01-28 21:00:21.984167","2025-01-28 21:00:22.885239","2025-01-28 21:00:22.880445",NULL,"1738098022885",NULL,"1738098022345","10270","43","36.8","25","0","2025-01-28 21:00:22.080779","2025-01-28 21:00:23.126294","2025-01-28 21:00:23.115917",NULL,"1738098023126",NULL,"1738098022345"
"10272","RATTC","6","1996-08-02","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","2025-01-28 21:00:21.984383","2025-01-28 21:00:22.885683","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10272","20","64.8","6","0","2025-01-28 21:00:22.080943","2025-01-28 21:00:23.126721","2025-01-28 21:00:23.115917",NULL,"1738098023127",NULL,"1738098022345"
"10272","RATTC","6","1996-08-02","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","2025-01-28 21:00:21.984383","2025-01-28 21:00:22.885683","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10272","31","10","40","0","2025-01-28 21:00:22.081029","2025-01-28 21:00:23.12692","2025-01-28 21:00:23.115917",NULL,"1738098023127",NULL,"1738098022345"
"10272","RATTC","6","1996-08-02","1996-08-30","1996-08-06","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","2025-01-28 21:00:21.984383","2025-01-28 21:00:22.885683","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10272","72","27.8","24","0","2025-01-28 21:00:22.081131","2025-01-28 21:00:23.127126","2025-01-28 21:00:23.115917",NULL,"1738098023127",NULL,"1738098022345"
"10273","QUICK","3","1996-08-05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","2025-01-28 21:00:21.984487","2025-01-28 21:00:22.885877","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10273","10","24.8","24","0.05","2025-01-28 21:00:22.081236","2025-01-28 21:00:23.127324","2025-01-28 21:00:23.115917",NULL,"1738098023127",NULL,"1738098022345"
"10273","QUICK","3","1996-08-05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","2025-01-28 21:00:21.984487","2025-01-28 21:00:22.885877","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10273","31","10","15","0.05","2025-01-28 21:00:22.081324","2025-01-28 21:00:23.127518","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10273","QUICK","3","1996-08-05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","2025-01-28 21:00:21.984487","2025-01-28 21:00:22.885877","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10273","40","14.7","60","0.05","2025-01-28 21:00:22.081489","2025-01-28 21:00:23.127743","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10273","QUICK","3","1996-08-05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","2025-01-28 21:00:21.984487","2025-01-28 21:00:22.885877","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10273","76","14.4","33","0.05","2025-01-28 21:00:22.081576","2025-01-28 21:00:23.127942","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10274","VINET","6","1996-08-06","1996-09-03","1996-08-16","1","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France","2025-01-28 21:00:21.98462","2025-01-28 21:00:22.886048","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10274","71","17.2","20","0","2025-01-28 21:00:22.081659","2025-01-28 21:00:23.128215","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10274","VINET","6","1996-08-06","1996-09-03","1996-08-16","1","6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France","2025-01-28 21:00:21.98462","2025-01-28 21:00:22.886048","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10274","72","27.8","7","0","2025-01-28 21:00:22.081711","2025-01-28 21:00:23.128349","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10275","MAGAA","1","1996-08-07","1996-09-04","1996-08-09","1","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy","2025-01-28 21:00:21.984758","2025-01-28 21:00:22.886316","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10275","24","3.6","12","0.05","2025-01-28 21:00:22.081752","2025-01-28 21:00:23.12846","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10275","MAGAA","1","1996-08-07","1996-09-04","1996-08-09","1","26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy","2025-01-28 21:00:21.984758","2025-01-28 21:00:22.886316","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10275","59","44","6","0.05","2025-01-28 21:00:22.081791","2025-01-28 21:00:23.128588","2025-01-28 21:00:23.115917",NULL,"1738098023129",NULL,"1738098022345"
"10276","TORTU","8","1996-08-08","1996-08-22","1996-08-14","3","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","2025-01-28 21:00:21.984861","2025-01-28 21:00:22.886506","2025-01-28 21:00:22.880445",NULL,"1738098022887",NULL,"1738098022345","10276","10","24.8","15","0","2025-01-28 21:00:22.081833","2025-01-28 21:00:23.128745","2025-01-28 21:00:23.115917",NULL,"1738098023129",NULL,"1738098022345"
"10276","TORTU","8","1996-08-08","1996-08-22","1996-08-14","3","13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","2025-01-28 21:00:21.984861","2025-01-28 21:00:22.886506","2025-01-28 21:00:22.880445",NULL,"1738098022887",NULL,"1738098022345","10276","13","4.8","10","0","2025-01-28 21:00:22.081871","2025-01-28 21:00:23.128894","2025-01-28 21:00:23.115917",NULL,"1738098023129",NULL,"1738098022345"
"10277","MORGK","2","1996-08-09","1996-09-06","1996-08-13","3","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany","2025-01-28 21:00:21.984994","2025-01-28 21:00:22.886671","2025-01-28 21:00:22.880445",NULL,"1738098022887",NULL,"1738098022345","10277","28","36.4","20","0","2025-01-28 21:00:22.081909","2025-01-28 21:00:23.129025","2025-01-28 21:00:23.115917",NULL,"1738098023129",NULL,"1738098022345"
"10277","MORGK","2","1996-08-09","1996-09-06","1996-08-13","3","125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany","2025-01-28 21:00:21.984994","2025-01-28 21:00:22.886671","2025-01-28 21:00:22.880445",NULL,"1738098022887",NULL,"1738098022345","10277","62","39.4","12","0","2025-01-28 21:00:22.081981","2025-01-28 21:00:23.129204","2025-01-28 21:00:23.115917",NULL,"1738098023129",NULL,"1738098022345"
"10278","BERGS","8","1996-08-12","1996-09-09","1996-08-16","2","92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden","2025-01-28 21:00:21.985229","2025-01-28 21:00:22.886836","2025-01-28 21:00:22.880445",NULL,"1738098022887",NULL,"1738098022345","10278","44","15.5","16","0","2025-01-28 21:00:22.082062","2025-01-28 21:00:23.129744","2025-01-28 21:00:23.115917",NULL,"1738098023130",NULL,"1738098022345"
"10291","QUEDE","6","1996-08-27","1996-09-24","1996-09-04","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","2025-01-28 21:00:21.98636","2025-01-28 21:00:22.889205","2025-01-28 21:00:22.880445",NULL,"1738098022889",NULL,"1738098022345","10291","51","42.4","2","0.1","2025-01-28 21:00:22.084556","2025-01-28 21:00:23.135866","2025-01-28 21:00:23.115917",NULL,"1738098023136",NULL,"1738098022345"
"10292","TRADH","1","1996-08-28","1996-09-25","1996-09-02","2","1.35","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil","2025-01-28 21:00:21.986486","2025-01-28 21:00:22.889552","2025-01-28 21:00:22.880445",NULL,"1738098022890",NULL,"1738098022345","10292","20","64.8","20","0","2025-01-28 21:00:22.084616","2025-01-28 21:00:23.135978","2025-01-28 21:00:23.115917",NULL,"1738098023136",NULL,"1738098022345"
"10293","TORTU","1","1996-08-29","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","2025-01-28 21:00:21.986558","2025-01-28 21:00:22.889922","2025-01-28 21:00:22.880445",NULL,"1738098022890",NULL,"1738098022345","10293","18","50","12","0","2025-01-28 21:00:22.08466","2025-01-28 21:00:23.13609","2025-01-28 21:00:23.115917",NULL,"1738098023136",NULL,"1738098022345"
"10293","TORTU","1","1996-08-29","1996-09-26","1996-09-11","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico","2025-01-28 21:00:21.986558","2025-01-28 21:00:22.889922","2025-01-28 21:00:22.880445",NULL,"1738098022890",NULL,"1738098022345","10293","24","3.6","10","0","2025-01-28 21:00:22.084701","2025-01-28 21:00:23.1362","2025-01-28 21:00:23.115917",NULL,"1738098023136",NULL,"1738098022345"
"10306","ROMEY","1","1996-09-16","1996-10-14","1996-09-23","3","7.56","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","2025-01-28 21:00:21.988075","2025-01-28 21:00:22.892588","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10306","53","26.2","10","0","2025-01-28 21:00:22.087534","2025-01-28 21:00:23.140943","2025-01-28 21:00:23.115917",NULL,"1738098023141",NULL,"1738098022345"
"10306","ROMEY","1","1996-09-16","1996-10-14","1996-09-23","3","7.56","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain","2025-01-28 21:00:21.988075","2025-01-28 21:00:22.892588","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10306","54","5.9","5","0","2025-01-28 21:00:22.087575","2025-01-28 21:00:23.141057","2025-01-28 21:00:23.115917",NULL,"1738098023141",NULL,"1738098022345"
"10307","LONEP","2","1996-09-17","1996-10-15","1996-09-25","2","0.56","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA","2025-01-28 21:00:21.988185","2025-01-28 21:00:22.892761","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10307","62","39.4","10","0","2025-01-28 21:00:22.087613","2025-01-28 21:00:23.141226","2025-01-28 21:00:23.115917",NULL,"1738098023141",NULL,"1738098022345"
"10307","LONEP","2","1996-09-17","1996-10-15","1996-09-25","2","0.56","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA","2025-01-28 21:00:21.988185","2025-01-28 21:00:22.892761","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10307","68","10","3","0","2025-01-28 21:00:22.087652","2025-01-28 21:00:23.14135","2025-01-28 21:00:23.115917",NULL,"1738098023141",NULL,"1738098022345"
"10308","ANATR","7","1996-09-18","1996-10-16","1996-09-24","3","1.61","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico","2025-01-28 21:00:21.988265","2025-01-28 21:00:22.892929","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10308","69","28.8","1","0","2025-01-28 21:00:22.087688","2025-01-28 21:00:23.141462","2025-01-28 21:00:23.115917",NULL,"1738098023141",NULL,"1738098022345"
"10308","ANATR","7","1996-09-18","1996-10-16","1996-09-24","3","1.61","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico","2025-01-28 21:00:21.988265","2025-01-28 21:00:22.892929","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10308","70","12","5","0","2025-01-28 21:00:22.087727","2025-01-28 21:00:23.141577","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2025-01-28 21:00:21.988334","2025-01-28 21:00:22.893094","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10309","4","17.6","20","0","2025-01-28 21:00:22.087765","2025-01-28 21:00:23.141684","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2025-01-28 21:00:21.988334","2025-01-28 21:00:22.893094","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10309","6","20","30","0","2025-01-28 21:00:22.087844","2025-01-28 21:00:23.141792","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2025-01-28 21:00:21.988334","2025-01-28 21:00:22.893094","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10309","42","11.2","2","0","2025-01-28 21:00:22.087913","2025-01-28 21:00:23.142063","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2025-01-28 21:00:21.988334","2025-01-28 21:00:22.893094","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10309","43","36.8","20","0","2025-01-28 21:00:22.08798","2025-01-28 21:00:23.142253","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10309","HUNGO","3","1996-09-19","1996-10-17","1996-10-23","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland","2025-01-28 21:00:21.988334","2025-01-28 21:00:22.893094","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10309","71","17.2","3","0","2025-01-28 21:00:22.088123","2025-01-28 21:00:23.142368","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10310","THEBI","8","1996-09-20","1996-10-18","1996-09-27","2","17.52","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA","2025-01-28 21:00:21.988405","2025-01-28 21:00:22.89333","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10310","16","13.9","10","0","2025-01-28 21:00:22.088256","2025-01-28 21:00:23.142475","2025-01-28 21:00:23.115917",NULL,"1738098023142",NULL,"1738098022345"
"10310","THEBI","8","1996-09-20","1996-10-18","1996-09-27","2","17.52","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA","2025-01-28 21:00:21.988405","2025-01-28 21:00:22.89333","2025-01-28 21:00:22.880445",NULL,"1738098022893",NULL,"1738098022345","10310","62","39.4","5","0","2025-01-28 21:00:22.088382","2025-01-28 21:00:23.142585","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10311","DUMON","1","1996-09-20","1996-10-04","1996-09-26","3","24.69","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France","2025-01-28 21:00:21.988489","2025-01-28 21:00:22.893545","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10311","42","11.2","6","0","2025-01-28 21:00:22.088511","2025-01-28 21:00:23.142695","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10311","DUMON","1","1996-09-20","1996-10-04","1996-09-26","3","24.69","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France","2025-01-28 21:00:21.988489","2025-01-28 21:00:22.893545","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10311","69","28.8","7","0","2025-01-28 21:00:22.0886","2025-01-28 21:00:23.142802","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10312","WANDK","2","1996-09-23","1996-10-21","1996-10-03","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","2025-01-28 21:00:21.988548","2025-01-28 21:00:22.893859","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10312","28","36.4","4","0","2025-01-28 21:00:22.088654","2025-01-28 21:00:23.142908","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10312","WANDK","2","1996-09-23","1996-10-21","1996-10-03","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","2025-01-28 21:00:21.988548","2025-01-28 21:00:22.893859","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10312","43","36.8","24","0","2025-01-28 21:00:22.088728","2025-01-28 21:00:23.143014","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10312","WANDK","2","1996-09-23","1996-10-21","1996-10-03","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","2025-01-28 21:00:21.988548","2025-01-28 21:00:22.893859","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10312","53","26.2","20","0","2025-01-28 21:00:22.088814","2025-01-28 21:00:23.14312","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
"10312","WANDK","2","1996-09-23","1996-10-21","1996-10-03","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany","2025-01-28 21:00:21.988548","2025-01-28 21:00:22.893859","2025-01-28 21:00:22.880445",NULL,"1738098022894",NULL,"1738098022345","10312","75","6.2","10","0","2025-01-28 21:00:22.088868","2025-01-28 21:00:23.143285","2025-01-28 21:00:23.115917",NULL,"1738098023143",NULL,"1738098022345"
